Date,Adj Close,%Change,Returns on 10000
24-06-2021,347.398,0.51%,16626.47
25-06-2021,353.008,1.61%,16894.96
28-06-2021,353.853,0.24%,16935.42
29-06-2021,352.433,-0.40%,16867.42
30-06-2021,350.520,-0.54%,16775.87
01-07-2021,349.525,-0.28%,16728.26
02-07-2021,350.555,0.29%,16777.56
05-07-2021,354.828,1.22%,16982.04
06-07-2021,356.384,0.44%,17056.53
07-07-2021,359.051,0.75%,17184.18
08-07-2021,354.958,-1.14%,16988.28
09-07-2021,354.565,-0.11%,16969.45
12-07-2021,357.736,0.89%,17121.23
13-07-2021,361.627,1.09%,17307.44
14-07-2021,361.772,0.04%,17314.41
15-07-2021,362.402,0.17%,17344.54
16-07-2021,364.245,0.51%,17432.73
19-07-2021,360.028,-1.16%,17230.95
20-07-2021,352.762,-2.02%,16883.19
22-07-2021,356.915,1.18%,17081.93
23-07-2021,359.875,0.83%,17223.59
26-07-2021,359.639,-0.07%,17212.32
27-07-2021,359.333,-0.09%,17197.65
28-07-2021,358.402,-0.26%,17153.13
29-07-2021,361.079,0.75%,17281.25
30-07-2021,359.287,-0.50%,17195.45
02-08-2021,361.284,0.56%,17291.02
03-08-2021,365.993,1.30%,17516.39
04-08-2021,369.682,1.01%,17692.98
05-08-2021,367.410,-0.61%,17584.23
06-08-2021,366.312,-0.30%,17531.67
09-08-2021,366.705,0.11%,17550.47
10-08-2021,363.534,-0.86%,17398.75
11-08-2021,362.774,-0.21%,17362.36
12-08-2021,365.396,0.72%,17487.83
13-08-2021,366.440,0.29%,17537.78
16-08-2021,365.931,-0.14%,17513.43
17-08-2021,364.139,-0.49%,17427.70
18-08-2021,362.607,-0.42%,17354.33
20-08-2021,356.650,-1.64%,17069.23
23-08-2021,354.866,-0.50%,16983.87
24-08-2021,361.300,1.81%,17291.78
25-08-2021,360.490,-0.22%,17253.04
26-08-2021,360.861,0.10%,17270.79
27-08-2021,361.787,0.26%,17315.13
