Date,Adj Close,%Change,Returns on 10000
15-01-2021,77.311,0.50%,13595.84
18-01-2021,75.479,-2.37%,13273.66
19-01-2021,76.09,0.81%,13381.2
20-01-2021,76.849,1.00%,13514.68
21-01-2021,75.788,-1.38%,13328.09
22-01-2021,74.908,-1.16%,13173.34
25-01-2021,74.311,-0.80%,13068.24
27-01-2021,72.59,-2.32%,12765.68
28-01-2021,73.015,0.59%,12840.4
29-01-2021,73.415,0.55%,12910.69
01-02-2021,74.566,1.57%,13113.09
02-02-2021,75.432,1.16%,13265.49
03-02-2021,77.025,2.11%,13545.61
04-02-2021,77.144,0.15%,13566.56
05-02-2021,76.348,-1.03%,13426.57
08-02-2021,77.191,1.10%,13574.82
09-02-2021,78.153,1.25%,13743.93
10-02-2021,78.652,0.64%,13831.79
11-02-2021,80.016,1.73%,14071.66
12-02-2021,79.888,-0.16%,14049.01
15-02-2021,80.099,0.26%,14086.14
16-02-2021,80.633,0.67%,14180.12
17-02-2021,81.27,0.79%,14292.1
18-02-2021,82.252,1.21%,14464.89
19-02-2021,81.105,-1.39%,14263.1
22-02-2021,80.074,-1.27%,14081.72
23-02-2021,80.828,0.94%,14214.41
24-02-2021,81.297,0.58%,14296.89
25-02-2021,82.49,1.47%,14506.62
26-02-2021,81.833,-0.80%,14391.08
01-03-2021,83.6,2.16%,14701.86
02-03-2021,84.566,1.16%,14871.75
03-03-2021,85.112,0.65%,14967.72
04-03-2021,84.991,-0.14%,14946.48
05-03-2021,83.593,-1.65%,14700.61
08-03-2021,83.908,0.38%,14756.07
09-03-2021,83.419,-0.58%,14670.06
10-03-2021,84.107,0.82%,14791.05
12-03-2021,84.476,0.44%,14855.91
15-03-2021,84.331,-0.17%,14830.46
16-03-2021,84.735,0.48%,14901.4
17-03-2021,83.784,-1.12%,14734.25
18-03-2021,82.903,-1.05%,14579.25
19-03-2021,84.628,2.08%,14882.71
22-03-2021,85.525,1.06%,15040.35
23-03-2021,86.191,0.78%,15157.46
24-03-2021,84.727,-1.70%,14900.02
25-03-2021,82.94,-2.11%,14585.77
26-03-2021,83.85,1.10%,14745.89
30-03-2021,85.011,1.38%,14950.08
31-03-2021,85.377,0.43%,15014.39
01-04-2021,87.751,2.78%,15431.94
05-04-2021,88.387,0.72%,15543.71
06-04-2021,89.413,1.16%,15724.11
07-04-2021,91.203,2.00%,16038.97
08-04-2021,92.242,1.14%,16221.57
09-04-2021,93.158,0.99%,16382.81
12-04-2021,89.922,-3.47%,15813.66
13-04-2021,90.747,0.92%,15958.74
15-04-2021,90.61,-0.15%,15934.67
16-04-2021,92.297,1.86%,16231.27
19-04-2021,91.288,-1.09%,16053.83
20-04-2021,92.446,1.27%,16257.56
22-04-2021,93.521,1.16%,16446.65
23-04-2021,93.517,0.00%,16445.89
26-04-2021,94.407,0.95%,16602.39
