Date,Adj Close,%Change,Returns on 10000
29-12-2020,142.950,0.01%,12622.50
30-12-2020,143.497,0.38%,12670.80
31-12-2020,144.111,0.43%,12725.03
01-01-2021,146.546,1.69%,12940.02
04-01-2021,148.399,1.26%,13103.61
05-01-2021,149.262,0.58%,13179.86
06-01-2021,149.256,0.00%,13179.29
07-01-2021,149.448,0.13%,13196.25
08-01-2021,151.243,1.20%,13354.76
11-01-2021,151.691,0.30%,13394.28
12-01-2021,152.333,0.42%,13450.98
13-01-2021,152.407,0.05%,13457.52
14-01-2021,152.516,0.07%,13467.18
15-01-2021,152.564,0.03%,13471.42
18-01-2021,150.839,-1.13%,13319.10
19-01-2021,152.525,1.12%,13467.94
20-01-2021,152.928,0.26%,13503.56
21-01-2021,151.870,-0.69%,13410.09
22-01-2021,151.297,-0.38%,13359.50
25-01-2021,150.518,-0.52%,13290.70
27-01-2021,149.604,-0.61%,13210.06
28-01-2021,149.128,-0.32%,13168.02
29-01-2021,147.545,-1.06%,13028.19
01-02-2021,150.402,1.94%,13280.46
02-02-2021,153.045,1.76%,13513.88
03-02-2021,154.547,0.98%,13646.51
04-02-2021,156.635,1.35%,13830.84
05-02-2021,155.411,-0.78%,13722.82
08-02-2021,155.418,0.00%,13723.41
09-02-2021,155.189,-0.15%,13703.18
10-02-2021,156.743,1.00%,13840.41
11-02-2021,156.855,0.07%,13850.30
12-02-2021,156.348,-0.32%,13805.51
15-02-2021,156.541,0.12%,13822.56
16-02-2021,155.732,-0.52%,13751.10
17-02-2021,154.867,-0.56%,13674.73
18-02-2021,155.943,0.69%,13769.71
19-02-2021,154.849,-0.70%,13673.19
22-02-2021,152.054,-1.80%,13426.39
23-02-2021,151.974,-0.05%,13419.33
24-02-2021,153.584,1.06%,13561.44
25-02-2021,154.272,0.45%,13622.19
26-02-2021,152.535,-1.13%,13468.86
01-03-2021,153.714,0.77%,13572.95
02-03-2021,155.113,0.91%,13696.50
03-03-2021,156.378,0.82%,13808.17
04-03-2021,157.032,0.42%,13865.88
05-03-2021,155.693,-0.85%,13747.72
08-03-2021,155.338,-0.23%,13716.36
09-03-2021,154.421,-0.59%,13635.38
10-03-2021,155.633,0.78%,13742.42
12-03-2021,155.686,0.03%,13747.10
15-03-2021,154.318,-0.88%,13626.31
16-03-2021,154.639,0.21%,13654.65
17-03-2021,152.522,-1.37%,13467.66
18-03-2021,151.498,-0.67%,13377.27
19-03-2021,151.768,0.18%,13401.09
22-03-2021,152.718,0.63%,13484.99
23-03-2021,153.015,0.19%,13511.25
24-03-2021,150.787,-1.46%,13314.44
25-03-2021,147.865,-1.94%,13056.48
26-03-2021,149.246,0.93%,13178.38
30-03-2021,150.281,0.69%,13269.75
31-03-2021,150.547,0.18%,13293.32
01-04-2021,152.506,1.30%,13466.25
05-04-2021,151.653,-0.56%,13390.91
06-04-2021,152.594,0.62%,13474.04
07-04-2021,154.105,0.99%,13607.47
08-04-2021,155.496,0.90%,13730.29
09-04-2021,155.679,0.12%,13746.42
12-04-2021,149.638,-3.88%,13213.00
13-04-2021,151.267,1.09%,13356.85
15-04-2021,151.416,0.10%,13370.00
16-04-2021,152.256,0.55%,13444.19
19-04-2021,149.467,-1.83%,13197.91
20-04-2021,151.258,1.20%,13356.09
22-04-2021,151.273,0.01%,13357.42
23-04-2021,151.523,0.16%,13379.42
26-04-2021,152.955,0.95%,13505.93
27-04-2021,154.071,0.73%,13604.44
28-04-2021,154.638,0.37%,13654.52
29-04-2021,153.963,-0.44%,13594.89
30-04-2021,153.308,-0.43%,13537.07
03-05-2021,153.679,0.24%,13569.82
04-05-2021,153.293,-0.25%,13535.76
05-05-2021,154.059,0.50%,13603.44
06-05-2021,154.247,0.12%,13620.03
07-05-2021,154.221,-0.02%,13617.74
10-05-2021,154.631,0.27%,13653.87
11-05-2021,155.110,0.31%,13696.17
12-05-2021,155.667,0.36%,13745.36
14-05-2021,156.154,0.31%,13788.42
17-05-2021,156.729,0.37%,13839.11
18-05-2021,159.162,1.55%,14054.03
19-05-2021,160.902,1.09%,14207.66
20-05-2021,160.987,0.05%,14215.13
21-05-2021,162.200,0.75%,14322.28
24-05-2021,162.436,0.15%,14343.07
25-05-2021,165.309,1.77%,14596.81
26-05-2021,166.252,0.57%,14680.00
27-05-2021,166.680,0.26%,14717.87
28-05-2021,166.323,-0.21%,14686.27
31-05-2021,166.627,0.18%,14713.13
01-06-2021,165.272,-0.81%,14593.52
02-06-2021,165.609,0.20%,14623.27
03-06-2021,166.684,0.65%,14718.17
04-06-2021,168.325,0.98%,14863.09
07-06-2021,169.563,0.74%,14972.38
08-06-2021,170.212,0.38%,15029.71
09-06-2021,168.417,-1.05%,14871.16
10-06-2021,170.608,1.30%,15064.71
11-06-2021,169.925,-0.40%,15004.32
14-06-2021,169.581,-0.20%,14974.03
15-06-2021,169.784,0.12%,14991.95
16-06-2021,168.965,-0.48%,14919.58
17-06-2021,167.597,-0.81%,14798.78
18-06-2021,167.184,-0.25%,14762.32
21-06-2021,167.027,-0.09%,14748.45
22-06-2021,168.261,0.74%,14857.46
23-06-2021,169.355,0.65%,14954.07
24-06-2021,169.429,0.04%,14960.56
25-06-2021,169.558,0.08%,14971.95
28-06-2021,169.605,0.03%,14976.10
29-06-2021,169.149,-0.27%,14935.88
30-06-2021,169.044,-0.06%,14926.55
01-07-2021,169.711,0.39%,14985.47
02-07-2021,170.525,0.48%,15057.34
05-07-2021,171.781,0.74%,15168.24
06-07-2021,171.871,0.05%,15176.20
07-07-2021,172.717,0.49%,15250.94
08-07-2021,172.027,-0.40%,15189.93
09-07-2021,172.868,0.49%,15264.19
12-07-2021,174.521,0.96%,15410.16
13-07-2021,174.618,0.06%,15418.78
14-07-2021,174.934,0.18%,15446.69
15-07-2021,174.162,-0.44%,15378.46
16-07-2021,174.427,0.15%,15401.92
19-07-2021,173.131,-0.74%,15287.43
20-07-2021,170.771,-1.36%,15079.07
22-07-2021,172.597,1.07%,15240.26
23-07-2021,172.847,0.14%,15262.36
26-07-2021,173.103,0.15%,15284.96
27-07-2021,172.364,-0.43%,15219.74
28-07-2021,171.995,-0.21%,15187.19
29-07-2021,172.503,0.29%,15231.96
30-07-2021,172.490,-0.01%,15230.86
02-08-2021,174.774,1.32%,15432.56
03-08-2021,177.169,1.37%,15643.98
04-08-2021,175.917,-0.71%,15533.44
05-08-2021,174.740,-0.67%,15429.56
06-08-2021,174.072,-0.38%,15370.52
09-08-2021,173.485,-0.34%,15318.70
