Date,Adj Close,%Change,Returns on 10000
20-11-2020,70.196,0.20%,10872.35
23-11-2020,71.009,1.16%,10998.25
24-11-2020,71.931,1.30%,11141.08
25-11-2020,71.145,-1.09%,11019.30
26-11-2020,71.782,0.90%,11118.03
27-11-2020,72.623,1.17%,11248.29
01-12-2020,74.424,2.48%,11527.24
02-12-2020,75.255,1.12%,11655.90
03-12-2020,75.765,0.68%,11734.89
04-12-2020,76.567,1.06%,11859.11
07-12-2020,77.807,1.62%,12051.18
08-12-2020,77.284,-0.67%,11970.13
09-12-2020,77.573,0.37%,12014.94
10-12-2020,77.427,-0.19%,11992.34
11-12-2020,77.589,0.21%,12017.45
14-12-2020,78.014,0.55%,12083.25
15-12-2020,78.356,0.44%,12136.31
16-12-2020,78.626,0.34%,12178.10
17-12-2020,79.187,0.71%,12264.96
18-12-2020,80.139,1.20%,12412.35
21-12-2020,77.024,-3.89%,11929.89
22-12-2020,78.418,1.81%,12145.79
23-12-2020,79.686,1.62%,12342.15
24-12-2020,80.260,0.72%,12431.17
28-12-2020,81.127,1.08%,12565.37
29-12-2020,81.401,0.34%,12607.91
30-12-2020,81.293,-0.13%,12591.12
31-12-2020,81.433,0.17%,12612.75
01-01-2021,82.393,1.18%,12761.54
04-01-2021,83.323,1.13%,12905.55
05-01-2021,84.255,1.12%,13049.84
06-01-2021,84.304,0.06%,13057.54
07-01-2021,83.869,-0.52%,12990.10
08-01-2021,85.629,2.10%,13262.69
11-01-2021,85.825,0.23%,13293.11
12-01-2021,85.510,-0.37%,13244.27
13-01-2021,85.510,0.00%,13244.29
14-01-2021,85.938,0.50%,13310.53
15-01-2021,84.969,-1.13%,13160.51
18-01-2021,83.465,-1.77%,12927.53
19-01-2021,84.817,1.62%,13137.01
20-01-2021,84.445,-0.44%,13079.25
21-01-2021,83.404,-1.23%,12918.16
22-01-2021,82.296,-1.33%,12746.44
25-01-2021,81.198,-1.33%,12576.39
27-01-2021,79.564,-2.01%,12323.38
28-01-2021,79.520,-0.06%,12316.47
29-01-2021,79.127,-0.49%,12255.59
01-02-2021,80.247,1.42%,12429.12
02-02-2021,80.703,0.57%,12499.83
03-02-2021,82.009,1.62%,12702.06
04-02-2021,82.355,0.42%,12755.60
05-02-2021,82.077,-0.34%,12712.62
08-02-2021,83.077,1.22%,12867.37
09-02-2021,83.412,0.40%,12919.40
10-02-2021,83.439,0.03%,12923.47
11-02-2021,83.362,-0.09%,12911.59
12-02-2021,83.250,-0.13%,12894.29
15-02-2021,83.204,-0.06%,12887.20
16-02-2021,83.012,-0.23%,12857.32
17-02-2021,83.074,0.07%,12866.91
18-02-2021,83.080,0.01%,12867.87
19-02-2021,82.245,-1.00%,12738.66
22-02-2021,81.564,-0.83%,12633.12
23-02-2021,81.801,0.29%,12669.81
24-02-2021,82.095,0.36%,12715.29
25-02-2021,83.739,2.00%,12969.95
26-02-2021,83.500,-0.28%,12932.99
01-03-2021,85.250,2.10%,13203.98
02-03-2021,86.988,2.04%,13473.22
03-03-2021,87.363,0.43%,13531.21
04-03-2021,88.274,1.04%,13672.33
05-03-2021,86.743,-1.73%,13435.27
08-03-2021,87.550,0.93%,13560.19
09-03-2021,87.548,0.00%,13560.00
10-03-2021,87.471,-0.09%,13548.06
12-03-2021,87.290,-0.21%,13519.95
15-03-2021,87.274,-0.02%,13517.52
16-03-2021,87.819,0.62%,13601.90
17-03-2021,85.774,-2.33%,13285.25
18-03-2021,85.384,-0.46%,13224.72
19-03-2021,88.302,3.42%,13676.71
22-03-2021,89.315,1.15%,13833.56
23-03-2021,89.623,0.35%,13881.41
24-03-2021,88.038,-1.77%,13635.82
25-03-2021,86.531,-1.71%,13402.49
26-03-2021,87.473,1.09%,13548.37
30-03-2021,89.550,2.37%,13870.05
31-03-2021,89.043,-0.57%,13791.43
01-04-2021,90.464,1.60%,14011.65
05-04-2021,90.886,0.47%,14077.03
06-04-2021,91.814,1.02%,14220.76
07-04-2021,92.421,0.66%,14314.73
08-04-2021,93.612,1.29%,14499.15
09-04-2021,95.195,1.69%,14744.35
12-04-2021,91.002,-4.41%,14094.86
13-04-2021,91.697,0.76%,14202.53
15-04-2021,91.315,-0.42%,14143.46
16-04-2021,92.209,0.98%,14281.90
19-04-2021,91.155,-1.14%,14118.65
20-04-2021,91.940,0.86%,14240.17
22-04-2021,92.962,1.11%,14398.45
23-04-2021,93.296,0.36%,14450.21
26-04-2021,93.812,0.55%,14530.13
27-04-2021,95.284,1.57%,14758.17
28-04-2021,95.730,0.47%,14827.28
29-04-2021,94.942,-0.82%,14705.20
30-04-2021,94.715,-0.24%,14670.04
03-05-2021,96.321,1.70%,14918.80
04-05-2021,96.312,-0.01%,14917.35
05-05-2021,98.063,1.82%,15188.60
06-05-2021,98.814,0.77%,15304.92
07-05-2021,99.823,1.02%,15461.13
10-05-2021,101.762,1.94%,15761.52
11-05-2021,103.974,2.17%,16104.07
12-05-2021,104.075,0.10%,16119.72
14-05-2021,101.910,-2.08%,15784.33
17-05-2021,103.052,1.12%,15961.32
18-05-2021,103.954,0.88%,16101.06
19-05-2021,103.991,0.04%,16106.78
20-05-2021,103.873,-0.11%,16088.45
21-05-2021,104.463,0.57%,16179.90
24-05-2021,105.239,0.74%,16299.98
25-05-2021,104.715,-0.50%,16218.91
26-05-2021,104.578,-0.13%,16197.62
27-05-2021,104.886,0.29%,16245.32
28-05-2021,105.364,0.46%,16319.37
31-05-2021,105.836,0.45%,16392.43
01-06-2021,104.908,-0.88%,16248.81
02-06-2021,105.700,0.75%,16371.41
03-06-2021,106.139,0.42%,16439.49
04-06-2021,106.666,0.50%,16521.02
07-06-2021,107.823,1.09%,16700.31
08-06-2021,107.849,0.02%,16704.20
09-06-2021,106.584,-1.17%,16508.35
10-06-2021,107.821,1.16%,16699.90
11-06-2021,108.281,0.43%,16771.22
14-06-2021,109.397,1.03%,16944.10
15-06-2021,109.468,0.06%,16955.12
16-06-2021,108.936,-0.49%,16872.65
17-06-2021,107.781,-1.06%,16693.79
18-06-2021,107.796,0.01%,16696.08
21-06-2021,108.330,0.50%,16778.78
22-06-2021,109.067,0.68%,16892.95
23-06-2021,109.382,0.29%,16941.72
24-06-2021,109.150,-0.21%,16905.86
25-06-2021,110.595,1.32%,17129.61
28-06-2021,110.447,-0.13%,17106.73
29-06-2021,109.766,-0.62%,17001.23
30-06-2021,110.031,0.24%,17042.24
01-07-2021,110.349,0.29%,17091.56
02-07-2021,111.425,0.97%,17258.13
