Date,Adj Close,%Change,Returns on 10000
31-03-2021,98.009,-1.04%,13040.18
01-04-2021,99.187,1.20%,13196.85
05-04-2021,97.654,-1.54%,12992.96
06-04-2021,97.959,0.31%,13033.46
07-04-2021,98.862,0.92%,13153.66
08-04-2021,99.239,0.38%,13203.80
09-04-2021,98.979,-0.26%,13169.14
12-04-2021,95.480,-3.53%,12703.71
13-04-2021,96.775,1.36%,12876.02
15-04-2021,97.285,0.53%,12943.82
16-04-2021,97.525,0.25%,12975.73
19-04-2021,95.801,-1.77%,12746.34
20-04-2021,95.380,-0.44%,12690.39
22-04-2021,96.111,0.77%,12787.62
23-04-2021,95.678,-0.45%,12730.01
26-04-2021,96.634,1.00%,12857.26
27-04-2021,97.755,1.16%,13006.41
28-04-2021,99.165,1.44%,13193.98
29-04-2021,99.398,0.24%,13225.03
30-04-2021,97.639,-1.77%,12990.98
03-05-2021,97.658,0.02%,12993.45
04-05-2021,96.740,-0.94%,12871.26
05-05-2021,97.548,0.84%,12978.84
06-05-2021,98.261,0.73%,13073.73
07-05-2021,98.916,0.67%,13160.83
10-05-2021,99.710,0.80%,13266.40
11-05-2021,99.098,-0.61%,13185.03
12-05-2021,98.069,-1.04%,13048.10
14-05-2021,97.943,-0.13%,13031.32
17-05-2021,99.577,1.67%,13248.80
18-05-2021,100.810,1.24%,13412.85
19-05-2021,100.290,-0.52%,13343.59
20-05-2021,99.461,-0.83%,13233.33
21-05-2021,101.259,1.81%,13472.62
24-05-2021,101.407,0.15%,13492.31
25-05-2021,101.510,0.10%,13505.96
26-05-2021,102.130,0.61%,13588.45
27-05-2021,102.372,0.24%,13620.68
28-05-2021,103.024,0.64%,13707.41
31-05-2021,104.154,1.10%,13857.72
01-06-2021,104.100,-0.05%,13850.56
02-06-2021,104.108,0.01%,13851.69
03-06-2021,104.892,0.75%,13955.98
04-06-2021,104.758,-0.13%,13938.06
07-06-2021,105.299,0.52%,14010.04
08-06-2021,105.220,-0.07%,13999.63
09-06-2021,104.522,-0.66%,13906.66
10-06-2021,105.295,0.74%,14009.57
11-06-2021,105.740,0.42%,14068.77
14-06-2021,105.845,0.10%,14082.68
15-06-2021,106.227,0.36%,14133.53
16-06-2021,105.548,-0.64%,14043.17
17-06-2021,105.069,-0.45%,13979.48
18-06-2021,105.014,-0.05%,13972.16
21-06-2021,105.434,0.40%,14028.00
22-06-2021,105.608,0.17%,14051.22
23-06-2021,105.035,-0.54%,13974.90
24-06-2021,105.730,0.66%,14067.50
25-06-2021,106.197,0.44%,14129.50
28-06-2021,105.890,-0.29%,14088.68
29-06-2021,105.490,-0.38%,14035.52
30-06-2021,105.312,-0.17%,14011.87
01-07-2021,105.034,-0.26%,13974.87
02-07-2021,105.314,0.27%,14012.15
05-07-2021,106.072,0.72%,14112.98
06-07-2021,105.964,-0.10%,14098.53
07-07-2021,106.373,0.39%,14153.03
08-07-2021,105.391,-0.92%,14022.28
09-07-2021,105.140,-0.24%,13988.91
12-07-2021,105.157,0.02%,13991.17
13-07-2021,105.957,0.76%,14097.64
14-07-2021,106.243,0.27%,14135.64
15-07-2021,106.736,0.46%,14201.27
16-07-2021,106.730,-0.01%,14200.49
19-07-2021,105.585,-1.07%,14048.16
20-07-2021,104.780,-0.76%,13941.08
22-07-2021,106.073,1.23%,14113.04
23-07-2021,106.315,0.23%,14145.24
26-07-2021,106.102,-0.20%,14116.90
27-07-2021,105.589,-0.48%,14048.67
28-07-2021,105.374,-0.20%,14020.03
29-07-2021,105.857,0.46%,14084.28
30-07-2021,105.753,-0.10%,14070.43
02-08-2021,106.575,0.78%,14179.80
03-08-2021,108.219,1.54%,14398.56
04-08-2021,109.075,0.79%,14512.45
05-08-2021,109.329,0.23%,14546.24
06-08-2021,108.950,-0.35%,14495.91
09-08-2021,109.090,0.13%,14514.50
10-08-2021,109.235,0.13%,14533.84
11-08-2021,109.251,0.01%,14535.92
12-08-2021,109.813,0.51%,14610.67
13-08-2021,110.915,1.00%,14757.36
16-08-2021,111.141,0.20%,14787.41
17-08-2021,111.496,0.32%,14834.55
18-08-2021,111.188,-0.28%,14793.65
20-08-2021,110.393,-0.71%,14687.89
23-08-2021,110.703,0.28%,14729.15
24-08-2021,111.562,0.78%,14843.39
25-08-2021,111.628,0.06%,14852.18
26-08-2021,111.643,0.01%,14854.14
27-08-2021,112.101,0.41%,14915.03
30-08-2021,113.613,1.35%,15116.27
31-08-2021,114.961,1.19%,15295.60
01-09-2021,114.585,-0.33%,15245.58
02-09-2021,115.655,0.93%,15387.96
03-09-2021,116.255,0.52%,15467.82
06-09-2021,116.616,0.31%,15515.85
