Stock Name,Average,Volatility,Max %Change,Min %Change
ICICILOVOL.NS,0.07799458075694227,0.556303345368989,1.9552274755745331,-1.6781595678940493
ICICIM150.NS,0.12273473475428691,0.8507535949114224,4.530773584926665,-5.025615963034751
ICICIMCAP.NS,0.10454906872630833,0.7510975957922505,2.269978402641308,-2.9139397586789144
ICICIMOM30.NS,0.11252131521924641,0.8680704583651486,2.7808069792802703,-2.9177771883289214
ICICINF100.NS,0.05304122915681704,0.615476788947317,2.0322093754033608,-2.2055071765703236
ICICINIFTY.NS,0.056499965629514426,0.5914159874833644,1.9281287874153095,-1.609967497366118
ICICINV20.NS,0.07598395675393538,0.6947876826706894,2.14705594788446,-2.1866156355047384
ICICINXT50.NS,0.062375260394101524,0.8103541635060312,2.306780078639249,-4.0967966412651355
ICICIPHARM.NS,0.0997662179224931,0.7641703049798235,3.079774967959801,-1.731383037277082
ICICIQTY30.NS,0.11366114486612018,0.6174087358404429,1.069345855309967,-2.1483974501823035
ICICISENSX.NS,0.05293698315111586,0.5883950295167464,2.11318175765646,-1.6622934415729342
ICICISILVE.NS,0.05323370555613058,1.2519839962893022,5.997232936173124,-4.538009593329165
ICICITECH.NS,0.06581718876655153,1.014009643139235,4.153248684908194,-4.713462190573066
IDFNIFTYET.NS,0.06559295427923148,1.4587021523402677,13.077810838103074,-11.586911939644844
IDFSENSEXE.BO,0.058324278176346285,1.0656829848817049,4.400428932111223,-4.752988703782032
